sample_row_id,fixture_date,country,league_name,predicted_result,result,result_correct,result_confidence_score,strength_difference
1,2026-08-08,Germany,Oberliga - Bayern Nord,AWAY,HOME,0,12.0,-3.0
2,2026-09-06,Portugal,Campeonato de Portugal Prio - Group A,AWAY,AWAY,1,25.0,3.0
3,2026-08-03,Iceland,1. Deild,AWAY,AWAY,1,49.0,-8.0
4,2026-07-11,Australia,Northern NSW NPL,AWAY,HOME,0,15.0,9.0
5,2026-08-18,World,Friendlies Clubs,AWAY,DRAW,0,69.0,-8.0
6,2026-08-22,Portugal,Primeira Liga,AWAY,AWAY,1,12.0,-5.0
7,2026-08-08,World,Friendlies Clubs,AWAY,DRAW,0,35.0,-2.0
8,2026-08-08,Argentina,Torneo Federal A,AWAY,DRAW,0,35.0,5.0
9,2026-08-21,Austria,Regionalliga - West,AWAY,DRAW,0,19.0,3.0
10,2026-08-15,England,Non League Premier - Southern Central,AWAY,HOME,0,66.0,1.0
11,2026-09-05,Slovenia,2. SNL,AWAY,HOME,0,35.0,-7.0
12,2026-07-28,World,Friendlies Clubs,AWAY,HOME,0,24.0,-8.0
13,2026-08-26,England,League Cup,AWAY,DRAW,0,16.0,8.0
14,2026-08-22,Sweden,Damallsvenskan,AWAY,DRAW,0,7.0,9.0
15,2026-08-08,England,National League,AWAY,HOME,0,13.0,5.0
16,2026-07-06,Mongolia,Premier League,AWAY,AWAY,1,29.0,-3.0
17,2026-08-16,Czech-Republic,3. liga - CFL A,AWAY,AWAY,1,21.0,5.0
18,2026-09-05,Germany,Oberliga - Baden-Württemberg,AWAY,HOME,0,25.0,2.0
19,2026-07-06,Brazil,Brasileirão Serie B,AWAY,HOME,0,12.0,-5.0
20,2026-07-17,World,Friendlies Clubs,AWAY,DRAW,0,45.0,-1.0
21,2026-07-27,Sweden,Svenska Cupen,AWAY,HOME,0,70.0,-3.0
22,2026-08-23,World,AFC Women's Champions League,AWAY,AWAY,1,20.0,-9.0
23,2026-09-06,World,CAF Champions League,AWAY,HOME,0,59.0,-6.0
24,2026-07-25,World,Friendlies Clubs,AWAY,HOME,0,34.0,9.0
25,2026-08-18,Portugal,Liga Revelação U23,AWAY,AWAY,1,20.0,-7.0
26,2026-08-08,Japan,J3 League,AWAY,HOME,0,13.0,0.0
27,2026-09-13,Peru,Primera División,AWAY,AWAY,1,49.0,1.0
28,2026-08-15,England,League Two,AWAY,AWAY,1,53.0,-4.0
29,2026-08-09,Malawi,Super League,AWAY,HOME,0,7.0,-4.0
30,2026-07-25,World,Friendlies Clubs,AWAY,AWAY,1,5.0,-2.0
31,2026-07-26,Scotland,Scottish League Cup,AWAY,AWAY,1,12.0,-5.0
32,2026-08-09,Switzerland,Swiss Super League,AWAY,HOME,0,34.0,-4.0
33,2026-08-23,Brazil,Serie B,AWAY,AWAY,1,64.0,9.0
34,2026-08-15,South-Korea,K League 1,AWAY,HOME,0,56.0,-7.0
35,2026-07-16,Australia,South Australia State League 1,AWAY,AWAY,1,19.0,9.0
36,2026-07-20,Estonia,Esiliiga B,AWAY,HOME,0,30.0,-4.0
37,2026-06-21,Argentina,Primera B Metropolitana,AWAY,HOME,0,,0.0
38,2026-07-31,World,Friendlies Clubs,AWAY,DRAW,0,30.0,-5.0
39,2026-08-23,Germany,U19 Bundesliga,AWAY,AWAY,1,46.0,-2.0
40,2026-07-25,World,Friendlies Clubs,AWAY,AWAY,1,20.0,-5.0
41,2026-09-05,South-Africa,Premier Soccer League,AWAY,DRAW,0,6.0,4.0
42,2026-08-22,England,Non League Premier - Southern Central,AWAY,AWAY,1,6.0,4.0
43,2026-07-31,World,Friendlies Clubs,AWAY,HOME,0,0.0,-3.0
44,2026-07-28,World,Friendlies Clubs,AWAY,HOME,0,34.0,-6.0
45,2026-08-25,Denmark,DBU Pokalen,AWAY,AWAY,1,85.0,-8.0
46,2026-08-16,Germany,Oberliga - Hamburg,AWAY,AWAY,1,66.0,-3.0
47,2026-09-05,Belgium,Jupiler Pro League,AWAY,AWAY,1,30.0,4.0
48,2026-07-31,Australia,Victoria NPL 2,AWAY,HOME,0,35.0,5.0
49,2026-08-14,Australia,New South Wales NPL,AWAY,AWAY,1,22.0,7.0
50,2026-07-01,USA,USL League Two,AWAY,DRAW,0,,5.0
51,2026-08-15,Sweden,Division 2 - Norrland,AWAY,HOME,0,60.0,-4.0
52,2026-08-08,Norway,3. Division - Girone 1,AWAY,HOME,0,75.0,-5.0
53,2026-09-06,Croatia,First NL,AWAY,HOME,0,34.0,-9.0
54,2026-08-26,Argentina,Primera B Metropolitana,AWAY,HOME,0,24.0,6.0
55,2026-09-05,Scotland,Football League - Highland League,AWAY,AWAY,1,35.0,-7.0
56,2026-08-11,England,Non League Premier - Southern South,AWAY,AWAY,1,27.0,-7.0
57,2026-08-08,Slovakia,3. liga - East,AWAY,HOME,0,85.0,-9.0
58,2026-08-05,Romania,Cupa României,AWAY,DRAW,0,78.0,-9.0
59,2026-09-05,Poland,I Liga,AWAY,DRAW,0,20.0,1.0
60,2026-09-05,Netherlands,Derde Divisie,AWAY,AWAY,1,36.0,3.0
61,2026-08-01,Poland,I Liga,AWAY,AWAY,1,64.0,-8.0
62,2026-07-23,Argentina,Liga Profesional,AWAY,AWAY,1,35.0,-9.0
63,2026-09-06,Portugal,Segunda Liga,AWAY,HOME,0,26.0,-5.0
64,2026-08-08,Denmark,Division 1,AWAY,HOME,0,60.0,-5.0
65,2026-07-01,USA,USL League Two,AWAY,HOME,0,,-1.0
66,2026-07-31,Russia,Premier League,AWAY,AWAY,1,23.0,-1.0
67,2026-08-18,England,Non League Premier - Northern,AWAY,DRAW,0,65.0,-9.0
